	Temperature (C)	Heat Flow (W/g)
765	28.29	-0.00857135738455339
766	28.3	-0.008608546201453127
767	28.31	-0.008670734789391066
768	28.32	-0.008682923147170118
769	28.33	-0.008570111273592751
770	28.34	-0.008471584881746264
771	28.35	-0.00854448682757214
772	28.36	-0.008531674252723498
773	28.37	-0.008452194775045552
774	28.38	-0.008366048393330328
775	28.39	-0.008343235106369473
776	28.4	-0.008430421579620262
777	28.41	-0.008347607811869828
778	28.42	-0.008354793801904403
779	28.43	-0.008441979548505785
780	28.44	-0.008379165050455661
781	28.45	-0.008306350306532817
782	28.46	-0.008303535315513422
783	28.47	-0.00819072007617283
784	28.48	-0.00804457125394853
785	28.49	-0.007998422180944598
786	28.5	-0.0080356061892628
787	28.51	-0.00816445661100218
788	28.52	-0.008059973444927593
789	28.53	-0.00806382335646827
790	28.54	-0.00795100634438528
791	28.55	-0.007888189074105156
792	28.56	-0.007792038211051899
793	28.57	-0.007795887087314934
794	28.58	-0.007599735701649735
795	28.59	-0.007496917386141888
796	28.6	-0.007424098806209756
797	28.61	-0.007536279960600023
798	28.62	-0.00752346084806188
799	28.63	-0.00732564146733905
800	28.64	-0.0072228218171761505
801	28.65	-0.007326668562980476
802	28.66	-0.007213848370160925
803	28.67	-0.007101027904122592
804	28.68	-0.007146540496937082
805	28.69	-0.007175386147340035
806	28.7	-0.007318120409622431
807	28.71	-0.007483076615849349
808	28.72	-0.007470254764753825
809	28.73	-0.007471718347127787
810	28.74	-0.007344610218841918
811	28.75	-0.007656787521478137
812	28.76	-0.007658964539473789
813	28.77	-0.0077061412715502264
814	28.78	-0.007659984383095342
815	28.79	-0.007680493872824989
816	28.8	-0.007734336406122644
817	28.81	-0.007654845315033576
818	28.82	-0.007667020598270735
819	28.83	-0.007729195587875548
820	28.84	-0.007666370282554347
821	28.85	-0.0077035446810111985
822	28.86	-0.007630718781947987
823	28.87	-0.007577892584065271
824	28.88	-0.007440066086060959
825	28.89	-0.007418905953298083
826	28.9	-0.007256078851137104
827	28.91	-0.0070599181116057785
828	28.92	-0.006913757066729254
829	28.93	-0.00684092904852962
830	28.94	-0.006588100722362711
831	28.95	-0.006360986372629274
832	28.96	-0.006295776474204651
833	28.97	-0.006149613882918015
834	28.98	-0.005936784311736165
835	28.99	-0.00582395442600836
836	29.0	-0.0057311242244151295
837	29.01	-0.005578293705633897
838	29.02	-0.005485462868343394
839	29.03	-0.005372631711218823
840	29.04	-0.0054098002329334705
841	29.05	-0.00528696843216192
842	29.06	-0.005167469640909417
843	29.07	-0.00509273242927577
844	29.08	-0.005183471081642299
845	29.09	-0.005128971310965902
846	29.1	-0.005116137877817728
847	29.11	-0.005103304114198348
848	29.12	-0.004907136685437408
849	29.13	-0.004894302256865046
850	29.14	-0.004764800827143034
851	29.15	-0.004738632394931663
852	29.16	-0.004880796958890432
853	29.17	-0.004726294517677143
854	29.18	-0.004765839355664436
855	29.19	-0.004767288614366372
856	29.2	-0.004687785149582346
857	29.21	-0.004766614674251546
858	29.22	-0.004748777187029596
859	29.23	-0.004755939353235483
860	29.24	-0.0046697678381861785
861	29.25	-0.004623595973866745
862	29.26	-0.004477423758925347
863	29.27	-0.004314584525343168
864	29.28	-0.004426744938434091
865	29.29	-0.004213904996843709
866	29.3	-0.004266064699215644
867	29.31	-0.0042932240441952985
868	29.32	-0.004225383030423746
869	29.33	-0.0041708749898758946
870	29.34	-0.0041080332545266884
871	29.35	-0.004095191156349376
872	29.36	-0.003974015360650451
873	29.37	-0.0037361725327365036
874	29.38	-0.0037399960045783054
875	29.39	-0.003685485774813646
876	29.4	-0.0037376418420782542
877	29.41	-0.003884797538341367
878	29.42	-0.003621952862237432
879	29.43	-0.003487679240973929
880	29.44	-0.003466262387470387
881	29.45	-0.0034134165860746357
882	29.46	-0.0034455704068467874
883	29.47	-0.003407723848418698
884	29.48	-0.003334876909419471
885	29.49	-0.0033820295884794405
886	29.5	-0.0032525152175604255
887	29.51	-0.0031763337952903647
888	29.52	-0.003143485320296069
889	29.53	-0.002913969791203286
890	29.54	-0.002917787206637268
891	29.55	-0.002824937565221841
892	29.56	-0.002812087532248597
893	29.57	-0.0026459037730046653
894	29.58	-0.0028330529527811343
895	29.59	-0.0027202017368641584
896	29.6	-0.0027835406000646934
897	29.61	-0.002894498112430366
898	29.62	-0.0028149790344853542
899	29.63	-0.002735459555323061
900	29.64	-0.0025392730068936054
901	29.65	-0.002556419387813591
902	29.66	-0.0026135653633629907
903	29.67	-0.0023007109321553365
904	29.68	-0.0023045227594691298
905	29.69	-0.002350000843915012
906	29.7	-0.002512145184104142
907	29.71	-0.0026492891119795914
908	29.72	-0.002826432626148012
909	29.73	-0.002773575725217192
910	29.74	-0.0028440517411283395
911	29.75	-0.0029878606724875745
912	29.76	-0.002835002517901586
913	29.77	-0.0028721439426417916
914	29.78	-0.002909284945312063
915	29.79	-0.0027964255245156444
916	29.8	-0.0028264228217120824
917	29.81	-0.0028207054069309123
918	29.82	-0.002817844707342587
919	29.83	-0.0025449835786885977
920	29.84	-0.0027321220195659635
921	29.85	-0.002735926695240476
922	29.86	-0.002556397604306593
923	29.87	-0.0026268680786922793
924	29.88	-0.002580671450326033
925	29.89	-0.00251780771779897
926	29.9	-0.002474943546368902
927	29.91	-0.0025670789346254885
928	29.92	-0.0024625472144914617
929	29.93	-0.0024763483845520184
930	29.94	-0.0023368157767271747
931	29.95	-0.0023072827229353443
932	29.96	-0.002227749221760611
933	29.97	-0.0022148819384515406
934	29.98	-0.00215201420492539
935	29.99	-0.0022641460197645458
936	30.0	-0.0021929440482160167
937	30.01	-0.002238408288863347
938	30.02	-0.002267205406953021
939	30.03	-0.002162668734399187
940	30.04	-0.002008131603115526
941	30.05	-0.001890498773587268
942	30.06	-0.0015990559586804842
943	30.07	-0.0014161841093542904
944	30.08	-0.0012899784622817378
945	30.09	-0.0012504390160414935
946	30.1	-0.0011308991025429371
947	30.11	-0.0012096920536950329
948	30.12	-0.0009718178680735434
949	30.13	-0.0009189432109177886
950	30.14	-0.0010460680808024314
951	30.15	-0.0011831924763012758
952	30.16	-0.0011703163959859708
953	30.17	-0.00135743983842751
954	30.18	-0.0013195628021973604
955	30.19	-0.0015016852858646956
956	30.2	-0.0017688072879979977
957	30.21	-0.0018559288071662294
958	30.22	-0.0019763831752697136
959	30.23	-0.0020901703908746683
960	30.24	-0.0021172904525474934
961	30.25	-0.0022444100255176735
962	30.26	-0.002324862441682285
963	30.27	-0.0024786476996014883
964	30.28	-0.0025057657978346803
965	30.29	-0.0026778834016063513
966	30.3	-0.0028400005094746383
967	30.31	-0.002902117119995662
968	30.32	-0.0030142332317253384
969	30.33	-0.002901348843217022
970	30.34	-0.0028741782387395887
971	30.35	-0.0027422452263698993
972	30.36	-0.002896025995133833
973	30.37	-0.0027164729245345853
974	30.38	-0.0027369193464532593
975	30.39	-0.0026240319261030542
976	30.4	-0.0026111439953626636
977	30.41	-0.002498255552777273
978	30.42	-0.0023853665968904814
979	30.43	-0.0022324771262454135
980	30.44	-0.002059587139385144
981	30.45	-0.0019216966348509779
982	30.46	-0.0016738056111851307
983	30.47	-0.001420914066928347
984	30.48	-0.0012913553339553019
985	30.49	-0.0011701294108061866
986	30.5	-0.0009489029626843504
987	30.51	-0.0009193426547948746
988	30.52	-0.000956448485675665
989	30.53	-0.0007935537871945897
990	30.54	-0.0006806585578891244
991	30.55	-0.00041776279629424096
992	30.56	-0.0003548665009458496
993	30.57	-0.0003119696703794972
994	30.58	-0.00014573896979808154
995	30.59	1.7158935594618896e-05
996	30.6	0.00019672404726334136
997	30.61	0.0002262897000062658
998	30.62	0.0002975225619525901
999	30.63	0.00039970834885139084
1000	30.64	0.00019832325264035333
1001	30.65	0.00041122441763841167
1002	30.66	0.0004241261310200528
1003	30.67	0.0004170283942435127
1004	30.68	0.0004699312087690366
1005	30.69	0.0004628345760551156
1006	30.7	0.0003424051642282322
1007	30.71	0.0003636429747464476
1008	30.72	0.00030154800907000734
1009	30.73	0.00028945360198884273
1010	30.74	0.00032735975496089864
1011	30.75	0.00026526646944402543
1012	30.76	0.0003781737468955271
1013	30.77	0.00046608158877337047
1014	30.78	0.0005623233298672758
1015	30.79	0.0005168989716342054
1016	30.8	0.0005648085155289806
1017	30.81	0.0006177186296723036
1018	30.82	0.0006556293155157711
1019	30.83	0.0005435405745135569
1020	30.84	0.0005897857414511876
1021	30.85	0.0006493648177809952
1022	30.86	0.0005622778049554356
1023	30.87	0.0005451913710929901
1024	30.88	0.0005581055176446803
1025	30.89	0.0007210202460612436
1026	30.9	0.0007196498435071419
1027	30.91	0.0007468514542909865
1028	30.92	0.0007931012703386031
1029	30.93	0.0006726850073848212
1030	30.94	0.0005856026668800141
1031	30.95	0.00046518758360614143
1032	30.96	0.00031143975901359866
1033	30.97	0.00028435919455249703
1034	30.98	0.00040394589167203065
